Name: Ignat1, Surname: Shevchenko11, Email: IgnatShevchenko11@gmail.com, Building ID: 1, Building Address: PershaStreet, Apartment Number: 1, Area: 20.0
Name: Ignat3, Surname: Shevchenko41, Email: IgnatShevchenko41@gmail.com, Building ID: 1, Building Address: PershaStreet, Apartment Number: 4, Area: 56.0
Name: Ignat5, Surname: Shevchenko51, Email: IgnatShevchenko51@gmail.com, Building ID: 1, Building Address: PershaStreet, Apartment Number: 5, Area: 20.0
Name: Ignat7, Surname: Shevchenko71, Email: IgnatShevchenko71@gmail.com, Building ID: 1, Building Address: PershaStreet, Apartment Number: 7, Area: 56.0
Name: Ignat10, Surname: Shevchenko101, Email: IgnatShevchenko101@gmail.com, Building ID: 1, Building Address: PershaStreet, Apartment Number: 10, Area: 34.0
Name: Ignat1, Surname: Shevchenko13, Email: IgnatShevchenko13@gmail.com, Building ID: 2, Building Address: DrugaStreet, Apartment Number: 10, Area: 34.0
Name: Ignat3, Surname: Shevchenko42, Email: IgnatShevchenko42@gmail.com, Building ID: 2, Building Address: DrugaStreet, Apartment Number: 4, Area: 56.0
Name: Ignat5, Surname: Shevchenko52, Email: IgnatShevchenko52@gmail.com, Building ID: 2, Building Address: DrugaStreet, Apartment Number: 5, Area: 20.0
Name: Ignat6, Surname: Shevchenko33, Email: IgnatShevchenko33@gmail.com, Building ID: 3, Building Address: TretyaStreet, Apartment Number: 4, Area: 56.0
Name: Ignat4, Surname: Shevchenko63, Email: IgnatShevchenko63@gmail.com, Building ID: 3, Building Address: TretyaStreet, Apartment Number: 5, Area: 20.0
Name: Ignat7, Surname: Shevchenko83, Email: IgnatShevchenko83@gmail.com, Building ID: 3, Building Address: TretyaStreet, Apartment Number: 8, Area: 20.0
Name: Ignat2, Surname: Shevchenko84, Email: IgnatShevchenko84@gmail.com, Building ID: 4, Building Address: ChetvertaStreet, Apartment Number: 2, Area: 20.0
Name: Ignat5, Surname: Shevchenko54, Email: IgnatShevchenko54@gmail.com, Building ID: 4, Building Address: ChetvertaStreet, Apartment Number: 5, Area: 20.0
Name: Ignat6, Surname: Shevchenko34, Email: IgnatShevchenko34@gmail.com, Building ID: 4, Building Address: ChetvertaStreet, Apartment Number: 6, Area: 56.0
Name: Ignat9, Surname: Shevchenko84, Email: IgnatShevchenko84@gmail.com, Building ID: 3, Building Address: TretyaStreet, Apartment Number: 9, Area: 34.0
Name: Ignat1, Surname: Shevchenko105, Email: IgnatShevchenko105@gmail.com, Building ID: 5, Building Address: PyataStreet, Apartment Number: 2, Area: 20.0
Name: Ignat6, Surname: Shevchenko35, Email: IgnatShevchenko35@gmail.com, Building ID: 5, Building Address: PyataStreet, Apartment Number: 8, Area: 20.0
Name: Ignat8, Surname: Shevchenko45, Email: IgnatShevchenko45@gmail.com, Building ID: 5, Building Address: PyataStreet, Apartment Number: 9, Area: 34.0
Name: Ignat10, Surname: Shevchenko75, Email: IgnatShevchenko7@gmail.com, Building ID: 5, Building Address: PyataStreet, Apartment Number: 10, Area: 34.0
